go .	va !
am i wrong ?	est-ce que je me trompe ?
answer tom .	réponds à tom .
answer tom .	répondez à tom .
are you ok ?	est-ce que tu vas bien ?
are you up ?	es-tu levé ?
are you up ?	es-tu levée ?
are you up ?	êtes-vous levé ?
are you up ?	êtes-vous levée ?
are you up ?	êtes-vous levés ?
are you up ?	êtes-vous levées ?
are you up ?	es-tu debout ?
are you up ?	êtes-vous debout ?
ask anyone .	demandez à n'importe qui .
ask anyone .	demande à n'importe qui .
ask anyone .	demande à quiconque !
ask around .	demande alentour !
ask around .	demandez alentour !
be careful !	faites attention !
be careful !	fais attention !
be careful !	sois prudent !
be careful !	sois prudente !
be careful !	soyez prudent !
be careful !	soyez prudente !
be careful !	soyez prudents !
be careful !	soyez prudentes !
be careful !	fais gaffe !
be careful .	sois prudent !
be careful .	sois prudente !
be careful .	soyez prudent !
be careful .	soyez prudente !
be careful .	soyez prudents !
be careful .	soyez prudentes !
be content .	sois satisfait !
be content .	sois satisfaite !
be content .	soyez satisfait !
be content .	soyez satisfaite !
be content .	soyez satisfaits !
be content .	soyez satisfaites !
be on time .	soyez à l'heure .
be on time .	sois à l'heure .
be serious .	soyez sérieux !
be serious .	soyez sérieuse !
be serious .	soyez sérieuses !
be serious .	sois sérieux !
be serious .	sois sérieuse !
birds sing .	les oiseaux chantent .
bottoms up !	santé !
bring food .	apportez de la nourriture .
bring food .	apporte à manger .
bring wine .	apporte du vin .
bring wine .	apportez du vin .
can i come ?	puis-je venir ?
can i help ?	puis-je aider ?
can i stay ?	puis-je rester ?
carry this .	porte-le .
check that .	vérifie ça .
check that .	regarde ça .
check that .	vérifiez cela .
check this .	vérifie ça .
check this .	regarde ça .
choose one .	choisis-en un .
choose one .	choisis-en une .
come alone .	viens seul !
come alone .	viens seule !
come alone .	venez seul !
come alone .	venez seuls !
come alone .	venez seule !
come alone .	venez seules !
come along .	joignez-vous à nous .
come on in !	entre donc !
come on in .	entre .
come quick !	viens vite !
come quick !	jouis vite !
come to me .	venez à moi .
come to us .	venez à nous .
cut it out !	arrête !
cut it out !	arrêtez !
cut it out .	assez !
did we win ?	avons-nous gagné ?
dig faster .	creuse plus vite .
dig faster .	creusez plus vite .
do i stink ?	est-ce que je pue ?
do men cry ?	les hommes pleurent-ils ?
don't fret .	te tracasse pas .
don't fret .	vous tracassez pas .
don't fret .	ne te tracasse pas .
don't fret .	ne vous tracassez pas .
don't jump !	ne saute pas !
don't jump !	ne sautez pas !
don't move !	ne bouge pas !
don't move !	ne bougez pas !
don't move .	ne bougez pas .
don't move .	ne bouge pas .
don't rush .	ne te précipite pas .
don't rush .	ne vous précipitez pas .
don't sing .	ne chante pas .
don't sing .	ne chantez pas .
don't talk !	ne parle pas !
don't talk !	ne parlez pas !
don't talk .	ne parle pas !
don't talk .	ne parlez pas !
don't wait .	n'attends pas !
don't wait .	n'attendez pas !
duty calls .	le devoir m'appelle .
face facts !	regardez les faits en face .
face facts !	rends-toi à l'évidence .
face facts !	rendez-vous à l'évidence .
fill it up .	le plein .
find a job .	trouve un emploi !
find a job .	trouve un boulot !
follow tom .	suivez tom .
follow tom .	suis tom .
follow him .	suis-le !
follow him .	suivez-le !
forget tom .	oublie tom .
forget tom .	oubliez tom .
forget him .	oublie-le .
forget him .	oubliez-le .
forgive me .	pardonnez-moi .
forgive us .	pardonne-nous !
get a life !	achète-toi une vie !
get to bed .	va au lit !
get to bed .	au lit !
get to bed .	allez au lit !
give it up .	laisse tomber .
give it up .	abandonne !
go outside .	sors .
go outside .	sortez .
go outside .	allez à l'extérieur .
go outside .	sortez d'ici .
go warm up .	va t'échauffer !
go warm up .	allez vous échauffer !
he gave in .	il a cédé .
he gave in .	il céda .
he hung up .	il a raccroché .
he hung up .	il raccrocha .
he is a dj .	il est dj .
he is busy .	il a à faire .
he is here !	il est ici !
he is kind .	il est gentil .
he is late .	il est en retard .
he is lazy .	il est fainéant .
he is lazy .	il est paresseux .
he is poor .	il est pauvre .
he is sick .	il est malade .
he made it .	il a réussi .
he's swiss .	il est suisse .
he's swiss .	il est helvète .
he's broke .	il est ruiné .
he's broke .	il est fauché .
he's drunk .	il est ivre .
he's drunk .	il est soûl .
he's smart .	il est intelligent .
head north .	vers le nord .
here he is !	il est ici !
here it is .	le voilà .
here it is .	tenez .
here it is .	le voici .
here we go .	c'est parti !
here we go .	on est partis !
hold still .	tiens-toi tranquille !
hold still .	tenez-vous tranquille !
how is tom ?	comment va tom ?
how lovely !	comme c'est charmant !
how's work ?	comment va le travail ?
hurry home .	dépêche-toi d'aller chez toi !
hurry home .	dépêchez-vous d'aller chez vous !
i admit it .	je l’admets .
i am a man .	je suis un homme .
i am going .	j’y vais .
i am human .	je suis humain .
i am ready .	je suis prêt .
i am right .	j'ai raison .
i am sorry .	je suis désolé .
i am sorry .	je suis désolée .
i am tired .	je suis fatigué !
i am tired .	je suis crevé .
i broke it .	je l'ai cassé .
i broke it .	je l'ai cassée .
i built it .	je l'ai construit .
i built it .	je l'ai construite .
i can come .	je peux venir .
i can cook .	je sais cuisiner .
i can jump .	je peux sauter .
i can read .	je sais lire .
i can read .	je peux lire .
i can sing .	je sais chanter .
i can stay .	je peux rester .
i can swim .	je sais nager .
i can wait .	je peux attendre .
i can walk .	je peux marcher .
i can't go .	je ne peux pas y aller .
i can't go .	je ne peux pas m'y rendre .
i can't go .	je ne peux pas partir .
i canceled .	j’ai annulé .
i did that .	j'ai fait cela .
i did that .	c'est moi qui l'ai fait .
i disagree .	je ne suis pas d'accord .
i do worry .	je me fais vraiment du souci .
i doubt it .	j'en doute .
i eat here .	je mange ici .
i envy tom .	j'envie tom .
i envy her .	je l'envie .
i envy him .	je l'envie .
i envy you .	je vous envie .
i envy you .	je t'envie .
i exercise .	je m’entraîne .
i feel bad .	je me sens mal .
i feel old .	je me sens vieux .
i feel old .	je me sens vieille .
i felt bad .	je me suis senti mal .
i felt ill .	je me suis senti mal .
i felt ill .	je me sentais malade .
i felt ill .	je me sentis malade .
i felt sad .	j'ai ressenti de la tristesse .
i felt sad .	je me suis senti triste .
i felt sad .	je me suis sentie triste .
i fixed it .	je l'ai réparé .
i fixed it .	je l'ai réparée .
i fixed it .	je la réparai .
i fixed it .	je le réparai .
i found it .	je l'ai trouvé .
i found it .	je le trouvai .
i got busy .	je suis devenu occupé .
i got busy .	je suis devenu occupée .
i got hurt .	je me suis blessé .
i got lost .	je me suis perdu .
i got sick .	je suis devenu malade .
i got sick .	je suis devenue malade .
i guess so .	je le suppose .
i guess so .	j'imagine .
i had help .	j'ai reçu de l'aide .
i hate you .	je te déteste .
i hate you .	je te hais .
i have one .	j'en ai un .
i have one .	j'en ai une .
i have won .	j'ai gagné .
i have won .	je l'ai emporté .
i hear you .	je t'entends .
i help him .	je l'aide .
i hope not .	je n'espère pas .
i hope not .	j'espère que non .
i know cpr .	je connais la rcp .
i know her .	je la connais .
i know him .	je le connais .
i like tom .	j'aime tom .
i like art .	j'apprécie l'art .
i like him .	je l'apprécie .
i like him .	je l'aime bien .
i like tea .	j'aime le thé .
i like you .	tu me plais .
i like you .	vous me plaisez .
i like you .	je t'aime .
i like you .	je t'aime bien .
i liked it .	j'ai aimé ça .
i liked it .	je l'ai apprécié .
i listened .	j'ai écouté .
i love tom .	j'aime tom .
i love rice	j'aime le riz .
i love tea .	j'adore le thé .
i love you .	je t'aime !
i love you .	je t'adore .
i love you .	je t'aime .
i loved it .	j'adorais ça .
i made tea .	j'ai préparé du thé .
i made two .	j'en ai fait deux .
i made two .	j'en ai confectionné deux .
i met them .	je les ai rencontrés .
i met them .	je les ai rencontrées .
i met them .	je les rencontrai .
i must run .	il me faut courir .
i must run .	je dois courir .
i need air .	j'ai besoin d'air .
i need air .	il me faut de l'air .
i need ice .	j'ai besoin de glace .
i need you .	j'ai besoin de toi .
i need you .	j'ai besoin de vous .
i panicked .	j'ai paniqué .
i promised .	j'ai promis .
i ran away .	je me suis enfuit .
i ran home .	j'ai couru à la maison .
i remember .	je m'en souviens .
i remember .	je me le rappelle .
i remember .	je m'en rappelle .
i said yes .	j'ai dit oui .
i sat down .	je m'assis .
i saw that .	j'ai vu cela .
i saw them .	je les ai vues .
i saw them .	je les ai vus .
i saw them .	je les vis .
i screamed .	j'ai crié .
i see them .	je les vois .
i shrugged .	j'ai haussé les épaules .
i survived .	j'ai survécu .
i threw up .	j'ai vomi .
i tried it .	j'ai essayé .
i tried it .	je l'ai essayé .
i use this .	j'utilise cela .
i want one !	j'en veux un !
i want one !	j'en veux une !
i want one .	j'en veux un !
i want one .	j'en veux une !
i want you .	j'ai envie de toi .
i want you .	je te veux !
i want you .	je vous veux !
i was away .	je n'étais pas là .
i was busy .	j'étais occupée .
i was good .	je fus bon .
i was good .	j'ai été bon .
i was good .	j'ai été bonne .
i was good .	je fus bonne .
i was hurt .	j'ai été blessé .
i was last .	j'ai été dernier .
i was last .	j'étais dernier .
i was last .	j'ai été dernière .
i was last .	j'étais dernière .
i was late .	j'étais en retard .
i was late .	j'ai été en retard .
i was lost .	j'étais perdu .
i was lost .	j'étais perdue .
i was sick .	j'ai été malade .
i was sick .	j'étais malade .
i whistled .	j’ai sifflé .
i will try .	je vais essayer .
i will try .	j'essaierai .
i won't go .	je n'irai pas .
i work out .	je fais de l'exercice .
i wrote it .	je l'ai écrit .
i wrote it .	c'est moi qui l'ai écrit .
i'd accept .	j'accepterais .
i'll check .	je vérifierai .
i'll do it .	je vais le faire .
i'll do it .	je le ferai .
i'll drive .	je conduirai .
i'll go in .	j'entrerai .
i'll hurry .	je me dépêcherai .
i'll leave .	je partirai .
i'll shoot .	je tirerai .
i'll stand .	je resterai debout .
i'll start .	je commencerai .
i'm a hero .	je suis un héros .
i'm a liar .	je suis un menteur .
i'm a twin .	j'ai un jumeau .
i'm baking !	je cuis !
i'm better .	je vais mieux .
i'm biased .	j'ai un parti pris .
i'm buying .	je paie .
i'm buying .	c'est moi qui paie .
i'm chubby .	je suis grassouillet .
i'm chubby .	je suis grassouillette .
i'm eating .	je mange .
i'm famous .	je suis connu .
i'm famous .	je suis connue .
i'm faster .	je suis plus rapide .
i'm flabby .	je suis flasque .
i'm greedy .	je suis cupide .
i'm greedy .	je suis gourmand .
i'm greedy .	je suis gourmande .
i'm hiding .	je me cache .
i'm honest .	je suis honnête .
i'm humble .	je suis humble .
i'm hungry !	j'ai faim !
i'm hungry .	j'ai faim !
i'm immune .	je suis immunisé .
i'm immune .	je suis immunisée .
i'm in bed .	je suis au lit .
i'm in bed .	je suis alité .
i'm in bed .	je suis alitée .
i'm inside .	je me trouve à l'intérieur .
i'm inside .	je suis à l'intérieur .
i'm joking .	je rigole !
i'm loaded .	je suis saoul .
i'm lonely .	je me sens seul .
i'm lonely .	je me sens seule .
i'm losing .	je suis en train de perdre .
i'm moving .	je suis en train de déménager .
i'm normal .	je suis normal .
i'm normal .	je suis normale .
i'm paying .	c'est moi qui paie .
i'm paying .	je suis en train de payer .
i'm pooped .	je suis crevé .
i'm rested .	je suis reposé .
i'm rested .	je suis reposée .
i'm ruined .	je suis ruiné .
i'm ruined .	je suis ruinée .
i'm shaken .	je suis remué .
i'm shaken .	je suis remuée .
i'm single .	je suis célibataire .
i'm skinny .	je suis maigrichon .
i'm skinny .	je suis maigrichonne .
i'm sleepy !	je suis fatigué !
i'm sleepy !	j'ai sommeil !
i'm sneaky .	je suis sournois .
i'm sneaky .	je suis sournoise .
i'm so fat .	je suis tellement gros .
i'm strict .	je suis strict .
i'm strict .	je suis stricte .
i'm strong .	je suis fort .
i'm strong .	je suis forte .
i'm thirty .	j'ai trente ans .
i'm trying .	j'essaye .
i'm trying .	j'essaie .
i'm trying .	je m'y essaie .
i'm wasted .	je suis affaiblie .
i've tried .	j'ai essayé .
i've tried .	j'ai tenté .
ignore tom .	ignore tom .
ignore tom .	ignorez tom .
ignore him .	ne faites pas attention à lui .
is tom ill ?	est-ce que tom est malade ?
is tom ill ?	tom est-il malade ?
is he busy ?	est-il occupé ?
is he dead ?	est-il mort ?
is he dead ?	est-il décédé ?
is he dead ?	il est mort ?
is he tall ?	est-il grand ?
is it blue ?	est-ce bleu ?
is it done ?	est-ce fait ?
is it free ?	c'est gratuit ?
is it hard ?	est-ce difficile ?
is it love ?	est-ce de l'amour ?
is it love ?	est-ce de l'amour ?
is it nice ?	est-ce chouette ?
is it safe ?	est-ce sûr ?
is it safe ?	est-ce sans danger ?
is it safe ?	est-ce inoffensif ?
is it time ?	est-il l'heure ?
is it true ?	c'est vrai ?
is that it ?	est-ce cela ?
is that so ?	en va-t-il ainsi ?
is that so ?	en est-il ainsi ?
is that so ?	est-ce le cas ?
it is 7:30 .	il est sept heures trente .
it is cold .	il fait froid .
it is cold .	c'est froid .
it matters .	ça importe .
it matters .	ça compte .
it matters .	c'est important .
it went ok .	ça s'est bien passé .
it'll work .	ça fonctionnera .
it'll work .	ça marchera .
it's a fad .	c'est une passade .
it's a fad .	c'est une tocade .
it's a fad .	c'est un phénomène de mode .
it's awful .	c'est terrible .
it's awful .	c'est affreux .
it's bogus .	c'est du pipeau tout ça .
it's bulky .	c'est encombrant .
it's cheap .	c'est bon marché .
it's clean .	c'est propre .
it's close .	c'est proche .
it's early .	il est tôt .
it's funny .	c'est marrant .
it's funny .	c'est drôle .
it's funny .	c'est rigolo .
it's green .	c'est vert .
it's my cd .	c'est mon cd .
it's night .	il fait nuit .
it's on me .	c'est pour moi .
it's phony .	c'est du pipeau tout ça .
it's quiet .	c'est silencieux .
it's quiet .	c'est calme .
it's ready .	c'est prêt .
it's right .	c'est juste .
it's safer .	c'est plus sûr .
it's sweet .	c'est mignon .
it's sweet .	c'est gentil .
it's weird .	c'est bizarre .
it's wrong .	c'est faux .
it's yours .	c'est le tien .
it's yours .	c'est la tienne .
it's yours .	c'est la vôtre .
it's yours .	c'est le vôtre .
jesus wept .	jésus a pleuré .
jesus wept .	jésus pleura .
just do it .	fais-le donc  !
just do it .	fais-le , tout simplement !
just do it .	faites-le , tout simplement !
just relax .	détendez-vous .
just relax .	détends-toi .
keep quiet !	reste tranquille !
keep quiet !	restez tranquille !
keep quiet .	reste tranquille .
keep quiet .	restez tranquille .
keep quiet .	restez tranquilles .
keep still .	reste tranquille !
keep still .	restez tranquille !
let him go !	laisse-le partir !
let him go !	laissez-le partir !
let him go !	laisse-le s'en aller !
let him go !	laissez-le s'en aller !
let him go .	laisse-le partir !
let him go .	laissez-le partir !
let him go .	laisse-le s'en aller !
let him go .	laissez-le s'en aller !
let him in .	fais-le entrer .
let him in .	laisse-le entrer .
let him in .	laissez-le entrer .
let him in .	faites-le entrer .
let me die .	laissez-moi mourir .
let me die .	laisse-moi mourir .
let me out !	laisse-moi sortir !
let me out !	laissez-moi sortir !
let me pay .	laisse-moi payer .
let me pay .	laissez-moi payer .
let me see .	laissez-moi voir .
let me try .	laisse-moi essayer .
let me try .	laissez-moi essayer .
let me try .	permettez-moi d'essayer .
let us out .	laisse-nous sortir !
let us out .	laissez-nous sortir !
let's chat .	discutons .
let's kiss .	embrassons-nous .
let's pray .	prions !
let's talk .	discutons !
let's work .	travaillons !
lighten up .	relaxe !
lighten up .	détends-toi !
look again .	regarde encore .
look again .	regardez à nouveau .
look at it .	regardez-le !
look at it .	regarde-le !
look at me .	regarde-moi .
look it up .	cherche-le  !
love hurts .	l'amour blesse .
love hurts .	l'amour fait mal .
mama cried .	maman a pleuré .
mama cried .	maman pleurait .
never mind !	n'y prête pas attention .
never mind !	t'inquiète pas .
no comment .	sans commentaire .
no kidding ?	vraiment ?
no kidding ?	sans blague ?
no problem !	aucun problème !
no problem !	pas de problème !
no problem .	pas de problème .
no problem .	aucun problème .
no problem .	ce n'est rien .
no problem .	sans problème .
oh , really ?	oh ! vraiment ?
once again .	encore une fois .
pick it up .	ramasse-le .
please sit .	asseyez-vous , je vous prie .
run for it !	sauve-toi !
run for it !	sauvez-vous !
run for it !	prends tes jambes à ton cou !
run for it !	prenez vos jambes à votre cou !
run for it !	prenez vos jambes à vos cous !
run for it !	taillez-vous !
run for it !	taille-toi !
run for it !	file !
run for it !	filez !
say please .	dis : « s'il te plaît » .
say please .	dites : « s'il vous plaît » .
shadow him .	file-le !
she is old .	elle est vieille .
she smiled .	elle a souri .
she's busy .	elle est occupée .
she's nice .	elle est gentille .
smell this .	sens ça .
smell this .	sentez ceci .
stand back !	reculez  !
stand back !	reculez !
stand back !	recule-toi !
stand back !	reculez-vous !
start here .	commencez ici .
start here .	commence ici .
stay alert .	restez sur vos gardes .
stay alert .	reste sur tes gardes .
stay awake .	reste debout .
stay awake .	reste éveillé .
stay close .	reste près .
stay close .	restez près .
stay sharp .	reste malin !
stay still .	ne bouge pas .
step aside .	écarte-toi !
step aside .	écartez-vous !
stop lying .	arrête de mentir .
stop lying .	arrêtez de mentir .
study hard .	étudie avec application .
study hard .	étudiez avec application .
take a bus .	prenez un bus .
take a nap .	fais un petit somme !
take cover !	mets-toi à l'abri !
take cover !	mettez-vous à l'abri !
take notes .	prends des notes .
take notes .	prenez des notes .
talk to me !	parle-moi !
talk to me !	parle-moi !
talk to me !	parlez-moi !
talk to me .	parle avec moi .
talk to me .	parlez-moi !
talk to me .	parlez avec moi .
taste this .	essayez ceci !
taste this .	goûte ça .
taste this .	goûtez ceci .
that a boy !	c'est bien !
that a boy !	t'es un bon garçon !
that hurts .	ça fait mal .
that works .	ça fonctionne .
that's all .	c'est tout .
that's fun .	c'est amusant .
that's fun .	c'est marrant .
that's her .	c'est elle .
that's his .	ce sont les siens .
that's his .	c'est le sien .
that's his .	c'est la sienne .
that's odd .	c'est bizarre .
they agree .	ils sont d'accord .
they agree .	elles sont d'accord .
they cheat .	ils trichent .
they cheat .	elles trichent .
they voted .	ils ont voté .
they voted .	elles ont voté .
this is it .	ça y est .
this works .	ça fonctionne .
time flies .	le temps s'enfuit .
time flies .	le temps s'envole .
time is up .	le temps est écoulé .
time is up .	l'heure est passée .
tom agrees .	tom est d'accord .
tom cheats .	tom triche .
tom cursed .	tom jura .
tom drinks .	tom boit .
tom drives .	tom conduit .
tom forgot .	tom a oublié .
tom forgot .	tom oublia .
tom helped .	tom a aidé .
tom helped .	tom aida .
tom is fat .	tom est gros .
tom is mad .	tom est fou .
tom is new .	tom est nouveau .
tom is sad .	tom est triste .
tom jumped .	tom sauta .
tom looked .	tom a regardé .
tom looked .	tom regarda .
tom nodded .	tom hocha la tête .
tom obeyed .	tom obéit .
tom obeyed .	tom a obéi .
tom paints .	tom peint .
tom sighed .	tom soupira .
tom smokes .	tom fume .
tom snores .	tom ronfle .
tom stayed .	tom est resté .
tom stinks .	tom pue .
tom talked .	tom a parlé .
tom yawned .	tom bailla .
tom'll cry .	tom va pleurer .
tom'll pay .	tom paiera .
tom's dead .	tom est mort .
tom's deaf .	tom est sourd .
tom's died .	tom est mort .
tom's fast .	tom est rapide .
tom's free .	tom est libre .
tom's glad .	tom est content .
tom's glad .	tom est heureux .
tom's glad .	tom est joyeux .
tom's gone .	tom est parti .
tom's here .	tom est là .
tom's here .	tom est ici .
tom's home .	tom est chez lui .
tom's home .	tom est à la maison .
tom's left .	tom est parti .
tom's left .	tom partit .
tom's safe .	tom est en sécurité .
tom's weak .	tom est faible .
tom's well .	tom va bien .
tough luck !	tant pis !
turn it up .	monte-le .
turn it up .	montez-le .
turn it up .	augmente-le .
turn it up .	augmentez-le .
wait a bit .	attends une seconde !
wait a bit .	attends un peu .
wait a sec .	attends une seconde !
wait a sec .	attendez une seconde !
we all die .	nous mourons tous .
we all die .	nous mourons toutes .
we all lie .	nous mentons tous .
we are men .	nous sommes des hommes .
we buy cds .	nous achetons des cd .
we can pay .	nous pouvons payer .
we can try .	nous pouvons essayer .
we can try .	nous pouvons tenter .
we can win .	nous pouvons gagner .
we can win .	nous pouvons l'emporter .
we like it .	nous l'apprécions .
we made it .	nous l'avons fait .
we made it .	nous l'avons accompli .
we made it .	nous avons réussi .
we must go .	nous devons y aller .
we must go .	nous devons partir .
we must go .	il nous faut y aller .
we must go .	nous devons nous en aller .
we need it .	nous en avons besoin .
we saw you .	nous vous avons vu .
we saw you .	nous vous avons vue .
we saw you .	nous vous avons vues .
we saw you .	nous vous avons vus .
we saw you .	nous t'avons vu .
we saw you .	nous t'avons vue .
we want it .	nous le voulons .
we'll cook .	nous ferons la cuisine .
we'll fail .	nous échouerons .
we'll help .	nous apporterons de l'aide .
we'll obey .	nous obéirons .
we'll pass .	nous réussirons .
we'll swim .	nous nagerons .
we'll wait .	nous attendrons .
we'll walk .	nous marcherons .
we'll work .	nous travaillerons .
we're back .	nous sommes de retour .
we're busy .	nous sommes occupés .
we're busy .	nous sommes occupées .
we're done .	nous avons fini .
we're done .	nous avons terminé .
we're done .	nous en avons fini .
we're done .	nous en avons terminé .
we're even .	nous sommes quittes .
we're fine .	nous allons bien .
we're here .	nous sommes ici .
we're here .	nous sommes là .
we're home .	nous sommes chez nous .
we're late .	nous sommes en retard .
we're lazy .	nous sommes paresseux .
we're lazy .	nous sommes fainéantes .
we're lost .	nous sommes perdus .
we're lost .	nous sommes perdues .
we're rich .	nous sommes riches .
we're safe .	nous sommes en sécurité .
we're sunk .	on est foutu .
we're sunk .	nous sommes foutus .
we're weak .	nous sommes faibles .
what a day !	quelle journée !
what is it ?	qu'est-ce que c'est ?
what is it ?	qu'est-ce ?
what is it ?	qu'est ce c'est ?
what's new ?	quoi de nouveau ?
where am i ?	où suis-je ?
who are we ?	qui sommes-nous ?
who did it ?	qui l'a fait ?
who did it ?	qui a fait ça ?
who has it ?	qui l'a ?
who is tom ?	c’est qui , tom ?
who phoned ?	qui a téléphoné ?
who phoned ?	qui est-ce qui a téléphoné ?
who saw me ?	qui m'a vu ?
who stayed ?	qui est resté ?
who talked ?	qui a parlé ?
who yelled ?	qui a hurlé ?
who's here ?	qui est là ?
who's that ?	qui est-ce ?
who's that ?	c’est qui ?
why bother ?	pourquoi s'en soucier ?
you decide .	toi , décide .
you decide .	vous , décidez .
you did it !	c'est toi qui l'as fait !
you did it !	c'est vous qui l'avez fait !
you may go .	vous pouvez partir .
you may go .	tu peux y aller .
you may go .	tu peux partir .
you may go .	tu peux t'en aller .
you may go .	vous pouvez vous en aller .
you may go .	vous pouvez y aller .
you're bad .	tu es vilain .
you're big .	tu es grand .
you're big .	tu es grande .
you're big .	vous êtes grand .
you're big .	vous êtes grande .
you're big .	vous êtes grands .
you're big .	vous êtes grandes .
you're fun .	t'es marrante .
you're fun .	t'es marrant .
you're old .	tu es vieux .
you're old .	tu es vieille .
you're old .	vous êtes vieux .
you're old .	vous êtes vieilles .
you're old .	vous êtes vieille .
you're sad .	tu es triste .
you're sad .	vous êtes triste .
you're shy .	tu es timide .
you're shy .	vous êtes timide .
you've won !	vous avez gagné !
you've won !	tu as gagné !
all is well .	tout va bien .
am i hungry !	j'ai faim !
am i stupid ?	suis-je idiot ?
am i stupid ?	suis-je idiote ?
anyone home ?	quiconque est-il dans la maison ?
anyone home ?	quiconque est-il à la maison ?
anyone home ?	qui que ce soit est-il à la maison ?
anyone hurt ?	quiconque est-il blessé ?
anyone hurt ?	qui que ce soit est-il blessé ?
are we done ?	avons-nous terminé ?
are we done ?	en avons-nous terminé ?
are we lost ?	sommes-nous perdus ?
are we lost ?	sommes-nous perdues ?
are we safe ?	sommes-nous en sécurité ?
are you tom ?	êtes-vous tom ?
are you tom ?	est-ce que tu es tom ?
are you hot ?	as-tu chaud ?
are you hot ?	avez-vous chaud ?
are you mad ?	êtes-vous fou ?
are you mad ?	es-tu folle ?
are you mad ?	êtes-vous folle ?
are you new ?	tu es nouveau ?
are you sad ?	es-tu triste ?
as you like .	comme tu veux .
as you like .	comme vous voulez .
ask anybody .	demande à n'importe qui !
ask anybody .	demandez à n'importe qui !
ask anybody .	demande à qui que ce soit !
ask anybody .	demandez à qui que ce soit !
be creative .	soyez créatives !
be creative .	soyez créatifs !
be creative .	soyez créative !
be creative .	soyez créatif !
be creative .	sois créative !
be creative .	sois créatif !
be discreet .	sois discret !
be discreet .	sois discrète !
be discreet .	soyez discret !
be discreet .	soyez discrète !
be discreet .	soyez discrets !
be discreet .	soyez discrètes !
be friendly .	soyez amicales !
be friendly .	soyez amicaux !
be friendly .	soyez amicale !
be friendly .	soyez amical !
be friendly .	sois amicale !
be friendly .	sois amical !
be generous .	sois généreux .
be merciful .	sois clément !
be merciful .	sois clémente !
be merciful .	soyez clément !
be merciful .	soyez cléments !
be merciful .	soyez clémente !
be merciful .	soyez clémentes !
be merciful .	soyez miséricordieuses !
be merciful .	soyez miséricordieuse !
be merciful .	soyez miséricordieux !
be merciful .	sois miséricordieuse !
be merciful .	sois miséricordieux !
be prepared .	sois prêt !
be prepared .	tiens-toi prêt !
be prepared .	sois prête !
be prepared .	soyez prêt !
be prepared .	soyez prête !
be prepared .	soyez prêts !
be prepared .	soyez prêtes !
be prepared .	tiens-toi prête !
be prepared .	tenez-vous prêt !
be prepared .	tenez-vous prête !
be prepared .	tenez-vous prêts !
be prepared .	tenez-vous prêtes !
be punctual .	soyez ponctuelles !
be punctual .	soyez ponctuelle !
be punctual .	soyez ponctuels !
be punctual .	soyez ponctuel !
be punctual .	sois ponctuel !
be punctual .	sois ponctuelle !
be ruthless .	soyez impitoyable !
be ruthless .	soyez impitoyables !
be ruthless .	sois impitoyable !
be sensible .	soyez raisonnable !
be sensible .	soyez raisonnables !
be sensible .	sois raisonnable !
be watchful .	sois prudent !
be watchful .	sois prudente !
be watchful .	soyez prudent !
be watchful .	soyez prudente !
be yourself .	sois toi-même .
be yourself .	soyez vous-même .
beer's good .	la bière est bonne .
break it up !	arrêtez !
can i begin ?	puis-je commencer ?
can it wait ?	cela peut-il attendre ?
can we come ?	pouvons-nous venir ?
can we help ?	pouvons-nous donner un coup de main ?
can we stop ?	pouvons-nous arrêter ?
can we talk ?	pouvons-nous parler ?
can you see ?	arrives-tu à voir ?
can you see ?	arrivez-vous à voir ?
can you ski ?	savez-vous faire du ski ?
can you ski ?	sais-tu faire du ski ?
can you try ?	pouvez-vous essayer ?
clean it up .	nettoyez-le .
clean it up .	nettoie-le .
come get it .	viens le chercher .
come get me .	venez me chercher .
come inside .	entre .
come off it !	arrête ça !
come off it !	arrête de te la péter !
come off it !	arrête ton char !
come off it !	décroche de ça !
come off it !	change de disque !
come off it !	laisse tomber !
come off it .	laisse tomber .
come off it .	arrête ton char .
cook for me .	cuisine pour moi .
cook for me .	cuisinez pour moi .
count me in .	tu peux me compter dans le nombre .
cover it up .	couvrez-le .
cover it up .	camouflez-le .
deal me out .	ne compte pas sur moi .
did tom eat ?	est-ce que tom a mangé ?
did tom eat ?	tom a-t-il mangé ?
did it hurt ?	ça vous a fait mal ?
did you win ?	as-tu vaincu ?
did you win ?	l'avez-vous emporté ?
did you win ?	l'as-tu emporté ?
do it again !	fais-le encore une fois !
do it again !	refais-le !
do it again !	fais-le de nouveau !
do it again !	fais-le à nouveau !
do it again !	faites-le de nouveau !
do it again !	faites-le à nouveau !
do it again !	refaites-le !
do it right .	fais-le comme il faut !
do it right .	faites-le comme il faut !
do you fish ?	vous pêchez ?
do your job .	fais ton boulot .
don't cheat .	ne triche pas .
don't cheat .	ne trichez pas .
don't do it !	ne le fais pas !
don't do it !	ne le faites pas !
don't do it .	ne le fais pas !
don't do it .	ne le faites pas !
don't fight .	ne vous battez pas .
don't gloat .	ne jubilez pas !
don't gloat .	ne jubile pas !
don't laugh .	ne ris pas .
don't laugh .	ne riez pas .
don't leave !	ne t'en va pas !
don't leave !	ne pars pas !
don't leave !	ne quittez pas !
don't leave .	ne pars pas !
don't leave .	ne partez pas !
don't panic !	ne panique pas !
don't panic !	ne paniquez pas !
don't shoot !	ne tire pas !
don't shoot !	ne tirez pas !
